epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3602.63,1.57875,1.46652,1.72711,0.66214,0.66095,0.67611,0.39739,1.54481,1.44385,1.53697,0.000990365,0.000990365,0.000990365
43,3685.89,1.58643,1.49431,1.74896,0.64093,0.69026,0.70495,0.40327,1.59892,1.49248,1.50422,0.000973861,0.000973861,0.000973861
44,3769.6,1.58371,1.48531,1.70699,0.75537,0.71326,0.77734,0.48455,1.46597,1.32649,1.45027,0.000957358,0.000957358,0.000957358
45,3853.77,1.54339,1.41697,1.65818,0.77667,0.69574,0.77539,0.48655,1.45547,1.2535,1.45211,0.000940855,0.000940855,0.000940855
46,3936.93,1.54465,1.40283,1.70491,0.74518,0.70025,0.76525,0.47558,1.50325,1.29292,1.50291,0.000924352,0.000924352,0.000924352
47,4020.77,1.4855,1.33368,1.65044,0.51437,0.60641,0.54975,0.27715,1.78587,1.77196,1.84561,0.000907848,0.000907848,0.000907848
48,4103.7,1.51933,1.34944,1.65273,0.72172,0.73029,0.7702,0.47348,1.44434,1.28565,1.41643,0.000891345,0.000891345,0.000891345
49,4187.04,1.46815,1.3392,1.61607,0.74427,0.69908,0.77633,0.47019,1.47814,1.28667,1.47195,0.000874842,0.000874842,0.000874842
50,4270.52,1.45529,1.35127,1.62194,0.76049,0.7281,0.78529,0.49535,1.39778,1.21675,1.39034,0.000858338,0.000858338,0.000858338
51,4353.92,1.50923,1.37621,1.62482,0.70832,0.62544,0.70512,0.42661,1.52929,1.37109,1.48337,0.000841835,0.000841835,0.000841835
52,4436.46,1.44291,1.31577,1.59452,0.75949,0.74659,0.81108,0.51558,1.40305,1.17115,1.43177,0.000825332,0.000825332,0.000825332
53,4520.12,1.46544,1.32754,1.61574,0.76117,0.73925,0.80747,0.52607,1.37204,1.17981,1.38488,0.000808828,0.000808828,0.000808828
54,4603.06,1.43361,1.32184,1.5816,0.73425,0.76645,0.81094,0.51977,1.37546,1.14425,1.38608,0.000792325,0.000792325,0.000792325
55,4686.75,1.41893,1.25535,1.56993,0.71407,0.76022,0.76295,0.48955,1.37198,1.19348,1.37993,0.000775822,0.000775822,0.000775822
56,4769.84,1.3778,1.27741,1.5581,0.76078,0.78959,0.80976,0.53434,1.30023,1.1336,1.3413,0.000759318,0.000759318,0.000759318
57,4852.1,1.39988,1.27767,1.55307,0.78267,0.77945,0.8284,0.55567,1.30114,1.10572,1.34291,0.000742815,0.000742815,0.000742815
58,4935.44,1.4012,1.27171,1.54047,0.61804,0.47136,0.48338,0.29952,1.83099,1.86433,1.68038,0.000726312,0.000726312,0.000726312
59,5020.02,1.35755,1.27691,1.53117,0.78355,0.80316,0.8296,0.55536,1.27388,1.05091,1.31487,0.000709809,0.000709809,0.000709809
60,5102.16,1.34639,1.23138,1.51287,0.759,0.76645,0.81237,0.54055,1.30337,1.09951,1.33156,0.000693305,0.000693305,0.000693305
61,5185.44,1.38906,1.24516,1.51225,0.75525,0.74037,0.81773,0.53229,1.28935,1.1277,1.32696,0.000676802,0.000676802,0.000676802
62,5268.03,1.35736,1.25038,1.50608,0.76172,0.80893,0.84398,0.5547,1.26541,1.13071,1.29923,0.000660299,0.000660299,0.000660299
63,5350.75,1.32777,1.21555,1.48988,0.82452,0.82383,0.86389,0.5886,1.2341,1.00749,1.29934,0.000643795,0.000643795,0.000643795
64,5433.34,1.28526,1.16896,1.45055,0.76248,0.75512,0.80734,0.49342,1.43526,1.20256,1.48719,0.000627292,0.000627292,0.000627292
65,5515.44,1.34301,1.22041,1.49318,0.82052,0.8148,0.87025,0.59124,1.24118,0.99149,1.29837,0.000610789,0.000610789,0.000610789
66,5597.15,1.27915,1.17789,1.47295,0.81983,0.80632,0.8545,0.58643,1.211,0.99074,1.28165,0.000594286,0.000594286,0.000594286
67,5680.2,1.28008,1.18619,1.4622,0.80625,0.73639,0.8262,0.54622,1.28908,1.07011,1.34382,0.000577782,0.000577782,0.000577782
68,5762.6,1.30957,1.17927,1.48441,0.79351,0.80533,0.84663,0.56554,1.26092,1.02855,1.28973,0.000561279,0.000561279,0.000561279
69,5849.79,1.24124,1.12971,1.41216,0.85229,0.81716,0.88156,0.61709,1.18045,0.94767,1.25694,0.000544776,0.000544776,0.000544776
70,5934.31,1.26025,1.14906,1.42445,0.85658,0.80409,0.88188,0.59734,1.21297,0.96752,1.26133,0.000528272,0.000528272,0.000528272
71,6017.04,1.29589,1.1505,1.43355,0.84426,0.83999,0.88218,0.61789,1.16365,0.96122,1.23719,0.000511769,0.000511769,0.000511769
72,6099.72,1.29531,1.1714,1.46161,0.85476,0.80544,0.87795,0.61716,1.16355,0.9401,1.24335,0.000495266,0.000495266,0.000495266
73,6183.38,1.27046,1.13709,1.4123,0.8305,0.79335,0.86117,0.58301,1.21681,0.99275,1.25711,0.000478762,0.000478762,0.000478762
74,6265.96,1.23948,1.11556,1.42147,0.72549,0.72467,0.77157,0.47448,1.38845,1.22826,1.5097,0.000462259,0.000462259,0.000462259
75,6349.1,1.26438,1.12787,1.41619,0.8652,0.81075,0.88282,0.6211,1.15022,0.95561,1.22379,0.000445756,0.000445756,0.000445756
76,6431.93,1.25888,1.10853,1.42996,0.86676,0.81386,0.88534,0.6301,1.13899,0.96067,1.20263,0.000429253,0.000429253,0.000429253
